brand,model,battery,year,height,width,weight,sim,numofsim,simtype,displaysize,displayresolution,os,chipset,cpu,gpu,memoryslot,maxextmemory,RAM,cam1MP,cam1video,cam2MP,cam2video,ir,radio,usb,nfc,fingerprint,price,basemark,loudspeaker,audioquality,endurance
Acer,Iconia Tab A1-810,4960,2013,208.7,145.7,410,No,no data,no data,7.9,768 x 1024,"Android 4.2.2 (Jelly Bean), upgrad&#1072;ble to 4.4.2 (KitKat)",Mediatek MT8125 (28 nm),Quad-core 1.2 GHz,PowerVR SGX544,"microSD, up to 32 GB (dedicated slot)",no data,Aug\16,5,no data,no data,no data,no data,,microUSB 2.0,No,No,120,no data,no data,no data,no data
Acer,Liquid E2,2000,2013,131,68,140,"Single SIM (Micro-SIM) or Dual SIM (Micro-SIM, dual stand-by)",no data,no data,4.5,540 x 960,Android 4.2.1 (Jelly Bean),Mediatek MT6589 (28 nm),Quad-core 1.2 GHz Cortex-A7,PowerVR SGX544,"microSD, up to 32 GB (dedicated slot)",no data,4,8,1080,2,no data,no data,,microUSB 2.0,No,No,180,no data,no data,no data,no data
Acer,Liquid Z2,1300,2013,110,62.5,110,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",no data,no data,3.5,320 x 480,Android 4.1.1 (Jelly Bean),Qualcomm MSM7227A Snapdragon S1,1.0 GHz Cortex-A5,Adreno 200,"microSD, up to 32 GB (dedicated slot)",no data,4,3,no data,no data,no data,no data,,microUSB 2.0,No,No,100,no data,no data,no data,no data
Acer,Liquid C1,2000,2013,127.3,65.5,140,Mini-SIM,no data,no data,4.3,540 x 960,Android 4.0 (Ice Cream Sandwich),Intel Atom Z2420,1.2 GHz,PowerVR SGX540,"microSD, up to 32 GB (dedicated slot)",no data,4,8,no data,no data,no data,no data,,microUSB 2.0,No,No,180,no data,no data,no data,no data
Acer,Liquid E1,1760,2013,132,68.5,130,"Single SIM (Mini-SIM) or Dual SIM (Mini-SIM, dual stand-by)",no data,no data,4.5,540 x 960,Android 4.1.1 (Jelly Bean),Mediatek MT6577 (40 nm),Dual-core 1.0 GHz Cortex-A9,SGX531u,"microSD, up to 32 GB (dedicated slot)",no data,4,5,720,no data,no data,no data,,microUSB 2.0,Yes,No,170,no data,no data,no data,no data
Acer,Iconia Tab B1-710,2640,2013,198.1,129.5,339.9,No,no data,no data,7,600 x 1024,Android OS,Mediatek MT8317T,Dual-core 1.2 GHz Cortex-A9,PowerVR SGX531u,"microSD, up to 32 GB (dedicated slot)",no data,8,no data,no data,no data,no data,no data,,microUSB 2.0,No,No,110,no data,no data,no data,no data
Acer,Iconia Tab B1-A71,2710,2013,197.4,128.5,320,No,no data,no data,7,600 x 1024,Android 4.1 (Jelly Bean),Mediatek MT8317,Dual-core 1.2 GHz Cortex-A9,SGX531u,"microSD, up to 32 GB (dedicated slot)",no data,Aug\16,no data,no data,no data,no data,no data,,microUSB 2.0,No,No,100,no data,no data,no data,no data
Acer,Iconia Tab A110,3420,2012,193,126.5,390,No,no data,no data,7,600 x 1024,Android 4.1 (Jelly Bean),Nvidia Tegra 3 T30L,Quad-core 1.2 GHz,ULP GeForce,"microSD, up to 32 GB (dedicated slot)",no data,8,2,720,no data,no data,no data,,microUSB 2.0,No,No,150,no data,no data,no data,no data
Acer,Liquid Z110,1300,2012,110,61.5,100,"Dual SIM (Mini-SIM, dual stand-by)",no data,no data,3.5,320 x 480,Android 2.3 (Gingerbread),Mediatek MT6575 (40 nm),1.0 GHz Cortex-A9,PowerVR SGX531,"microSD, up to 32 GB (dedicated slot)",no data,4,no data,no data,no data,no data,no data,,microUSB 2.0,No,No,100,no data,no data,no data,no data
Acer,Liquid Gallant E350,1500,2012,129,65.9,145,Mini-SIM,no data,no data,4.3,540 x 960,Android 4.0.3 (Ice Cream Sandwich),Mediatek MT6575 (40 nm),1.0 GHz Cortex-A9,PowerVR SGX531,"microSD, up to 32 GB (dedicated slot)",no data,4,5,no data,no data,no data,no data,,microUSB 2.0,No,No,160,no data,no data,no data,no data
